ID,Conteúdo,Autor,Categoria,Subcategoria,Status,Tags,Última Sincronização,Excluir?
3155,As botoeiras do painel da cabina estão com os números ilegíveis.,Eliseu,,Botoeira,revisar,,08/07/2026,FALSE
3156,O botão para fechamento da porta da cabina está inoperante.,Eliseu,,Botoeira,revisar,botão para fechamento inoperante,08/07/2026,FALSE
3157,"O interfone para elevador é um sistema de comunicação bidirecional essencial para emergências. Ele permite que passageiros presos na cabina contatem instantaneamente a portaria, a casa de máquinas ou uma central de monitoramento. ",,,Interfone,ok,interfone,08/07/2026,FALSE
3158,"O dispositivo do controle da inspeção instalado no topo da cabina não atende ao item 14.2.1.3b) da norma. Necessita substituição.14.2.1.3 Controle da operação de inspeção. Para facilitar a inspeção e a manutenção, deve ser provida no topo da cabina uma botoeira de controle, facilmente acessível. b)o movimento do carro deve ser dependente do acionamento de três botões de pressão constante sendo um de subida, um de descida, com os sentidos de movimento claramente indicados, e um botão comum a ambos os sentidos, protegidos contra acionamento acidental. O movimento do carro deve ser conseguido com a atuação simultânea de um dos botões de sentido de movimento e o botão comum. O movimento do carro é obtido pressionando-se apenas um botão, contrariando a norma e sujeitando os operadores a acidentes.",Eliseu,,Comando de Inspeção,revisar,"comando de inspeção não atende a norma, norma",08/07/2026,FALSE
3159,A botoeira do comando sobe/desce do elevador não atende à Norma. Tal irregularidade compromete a segurança dos técnicos de manutenção. Os dispositivos de parada devem consistir de dispositivos elétricos de segurança de acordo com 14.1.2. Eles devem ser biestáveis e de modo que o retorno ao serviço não possa resultar de uma ação involuntária. Estes dispositivos devem ser do tipo “botão de soco”.,Eliseu,,Comando de Inspeção,ok,"botoeira de comando, não atende a norma, biestáveis, tipo soco, norma",08/07/2026,FALSE
3160,"Comando manutenção sobre a cabina: Recomenda-se a substituição dos comandos em manutenção sobre a cabina dos elevadores por novos, dispondo de botão de emergência tipo soco, comandos de segurança, iluminação e tomada.",Eliseu,,Comando de Inspeção,arquivado,"recomendação de substituição, tipo soco",08/07/2026,FALSE
3161,"A botoeira de comando em manutenção sobre a cabina está com os circuitos adulterados, não permite o elevador movimentar na baixa velocidade, que é ideal para a realização de manutenção. Tal irregularidade compromete a segurança dos técnicos de manutenção. Necessita regularização.",Eliseu,,Comando de Inspeção,ok,"não opera em baixa, regularização",08/07/2026,FALSE
3162,A botoeira de comando em manutenção sobre a cabina não executa manobra de subida. Esta irregularidade impossibilita a realização adequada e segura dos trabalhos de inspeção e manutenção dos elevadores. Este é item de segurança obrigatório por por norma. Necessita regularização.,Eliseu,,Comando de Inspeção,revisar,"não executa subida, inadequada",08/07/2026,FALSE
3163,"A botoeira de comando em manutenção sobre a cabina não possui identificações para operação, conforme determina a norma. Esta irregularidade impossibilita a realização adequada e segura dos trabalhos de inspeção e manutenção dos elevadores.",Eliseu,,Comando de Inspeção,revisar,"não possui identificação para operação, segurança",08/07/2026,FALSE
3164,A botoeira do comando sobe/desce não atende à Norma. Os dispositivos de parada devem consistir de dispositivos elétricos de segurança de acordo com 14.1.2. Eles devem ser biestáveis e de modo que o retorno ao serviço não possa resultar de uma ação involuntária. Estes dispositivos devem ser do tipo “botão de soco”.,Eliseu,,Comando de Inspeção,revisar,"não atende a norma, biestáveis, norma",08/07/2026,FALSE
3165,Falta proteção na entrada da fiação na botoeira de comando sujeitando a acidentes por acionamento involuntário da cabina caso ocorra o rompimento do isolamento da fiação. Neste caso se sujeita a acidentes,Eliseu,,Comando de Inspeção,revisar,"proteção da fiação, acidentes",08/07/2026,FALSE
3166,"O comando sobre a cabina não atende o exigido pela Norma NM207 conforme citado acima. O acionamento é feito com apenas um botão, não existe o botão comum, destinado à segurança. Compromete a segurança",Eliseu,,Comando de Inspeção,revisar,"não atende a norma, acionamento apenas por um botão",08/07/2026,FALSE
3167,"A botoeira do comando sobe/desce não atende a norma, o dispositivo de parada deve ser do tipo “botão de soco”.  NM207:14.2.2 Dispositivos de parada: Eles devem ser bi-estáveis e de modo que o retorno ao serviço não possa resultar de uma ação involuntária. Estes dispositivos devem ser do tipo “botão de soco”.",Eliseu,,Comando de Inspeção,ok,"Botoeira de Comando não atende a norma, tipo soco, norma",08/07/2026,FALSE
